orbit,Itinerary_String,roots
17,"[0, 5, 6, 7, 12, 14]","[1.9468779484425096, 1.033985475663058]"
17,"[0, 5, 6, 8, 11, 12]","[1.9572900667314013, 1.0235764886107745]"
17,"[0, 5, 6, 8, 12, 13]","[1.9569591394389012, 1.024642809667247]"
17,"[0, 5, 7, 8, 10, 12]","[1.938304241627805, 1.0290509828547523]"
17,"[0, 5, 7, 8, 11, 12]","[1.9367709414564909, 1.0795306577443624]"
17,"[0, 5, 7, 8, 11, 13]","[1.9371817777181342, 1.032468541948305]"
17,"[0, 5, 7, 8, 12, 13]","[1.936384419918137, 1.0827346914870504]"
17,"[0, 5, 7, 8, 12, 14]","[1.936597698301893, 1.0365041151364354]"
17,"[0, 5, 7, 9, 11, 12]","[1.9424405814927583, 1.0261000060341285]"
17,"[0, 5, 7, 9, 12, 13]","[1.9420726068684324, 1.0274029912768765]"
17,"[0, 5, 7, 9, 13, 14]","[1.9418826046619726, 1.0287861934600169]"
17,"[0, 5, 8, 9, 10, 12]","[1.932857636438249, 1.0308667965310492]"
17,"[0, 5, 8, 9, 11, 12]","[1.9312583570216821, 1.0839997254261253]"
17,"[0, 5, 8, 9, 11, 13]","[1.9316894276408116, 1.0347243511705089]"
17,"[0, 5, 8, 9, 12, 13]","[1.9308550913590325, 1.087506279419808]"
17,"[0, 5, 8, 9, 12, 14]","[1.9310795748083716, 1.0393111989540347]"
17,"[0, 5, 8, 9, 13, 14]","[1.9306455877935957, 1.090885738754733]"
17,"[0, 5, 8, 9, 13, 15]","[1.9307622264038338, 1.0446807501989723]"
17,"[0, 5, 8, 10, 11, 12]","[1.9343295612492208, 1.0291466880558484]"
17,"[0, 5, 8, 10, 12, 13]","[1.9339376298702966, 1.030760356236091]"
17,"[0, 5, 8, 10, 13, 14]","[1.9337343621294227, 1.0324804943612507]"
17,"[0, 5, 8, 10, 14, 15]","[1.9336290651718686, 1.0343028268943968]"
17,"[0, 5, 9, 10, 11, 12]","[1.9283308389358966, 1.0885578105442233]"
17,"[0, 5, 9, 10, 11, 13]","[1.928773800982301, 1.037214902076472]"
17,"[0, 5, 9, 10, 12, 13]","[1.9279176931990145, 1.0923595228910226]"
17,"[0, 5, 9, 10, 12, 14]","[1.9281487581784296, 1.0424263806802387]"
17,"[0, 5, 9, 10, 13, 14]","[1.927702709659623, 1.0960021155775268]"
17,"[0, 5, 9, 10, 13, 15]","[1.927822962910708, 1.0485336009281128]"
17,"[0, 5, 9, 10, 14, 15]","[1.9275909815360863, 1.0994366230534767]"
17,"[0, 5, 9, 10, 14, 16]","[1.9276534808502954, 1.055439499858689]"
17,"[0, 5, 9, 11, 12, 13]","[1.929562489016083, 1.0348794690576444]"
17,"[0, 5, 9, 11, 13, 14]","[1.9293511472669085, 1.037042080481118]"
17,"[0, 5, 9, 11, 14, 15]","[1.9292414100484665, 1.0393347678837517]"
17,"[0, 5, 9, 11, 15, 16]","[1.9291844710361488, 1.041739891721793]"
17,"[0, 6, 7, 8, 10, 11]","[1.9759004296444922, 1.0215426555079619]"
17,"[0, 6, 7, 8, 11, 12]","[1.9753197298561624, 1.0224575665473947]"
17,"[0, 6, 7, 8, 12, 13]","[1.9750246339106394, 1.0234247635910088]"
17,"[0, 6, 7, 8, 13, 14]","[1.9748748977065294, 1.0244446746850302]"
17,"[0, 6, 8, 9, 10, 11]","[1.9713778443472996, 1.022523496172329]"
17,"[0, 6, 8, 9, 11, 12]","[1.9707788980672616, 1.023523104412945]"
17,"[0, 6, 8, 9, 12, 13]","[1.9704737843406193, 1.024582059335412]"
17,"[0, 6, 8, 9, 13, 14]","[1.9703185939279515, 1.0257007275627468]"
17,"[0, 6, 8, 9, 14, 15]","[1.970239730540133, 1.0268782788522068]"
17,"[0, 6, 9, 10, 11, 12]","[1.9684293035371057, 1.0246659039393204]"
17,"[0, 6, 9, 10, 12, 13]","[1.968118473681053, 1.0258261423828605]"
17,"[0, 6, 9, 10, 13, 14]","[1.967960178572839, 1.0270537867608607]"
17,"[0, 6, 9, 10, 14, 15]","[1.9678796386456803, 1.0283475081523081]"
17,"[0, 6, 9, 10, 15, 16]","[1.967838681989421, 1.0297041292080453]"
17,"[0, 6, 10, 11, 12, 13]","[1.9669072923329818, 1.02716114539614]"
17,"[0, 6, 10, 11, 13, 14]","[1.9667472726431923, 1.028508260424558]"
17,"[0, 6, 10, 11, 14, 15]","[1.9666658036480178, 1.0299289717820221]"
17,"[0, 6, 10, 11, 15, 16]","[1.9666243485552513, 1.031418844215739]"
17,"[0, 6, 11, 12, 13, 14]","[1.966126155052148, 1.0300668403089317]"
17,"[0, 6, 11, 12, 14, 15]","[1.9660441793033119, 1.0316249190984574]"
17,"[0, 6, 11, 12, 15, 16]","[1.9660024529315263, 1.0332579602494867]"
17,"[0, 3, 4, 5, 7, 8, 11, 14]","[1.7303246637723229, 1.0872927296591164]"
